Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5.3_2019-06-13
Full Report (All Nutrients)
Report Run at: September 05 2019 02:23 EDT
"Nutrient data for: Carrots, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: Fat Factor: Protein Factor: Nitrogen to Protein Conversion Factor: 
Refuse: Refuse Description: 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup chopped = 128.0g","1 cup grated = 110.0g","1 cup strips or slices = 122.0g","1 large (7-1/4"" to 8-/1/2"" long) = 72.0g","1 medium = 61.0g","1 small (5-1/2"" long) = 50.0g","1 slice = 3.0g","1 strip large (3"" long) = 7.0g","1 strip medium = 4.0g",
Proximates
"Water",g,88.29,33,0.420,113.01,97.12,107.71,63.57,53.86,44.15,2.65,6.18,3.53
"Energy",kcal,41,--,--,52,45,50,30,25,20,1,3,2
"Energy",kJ,173,--,--,221,190,211,125,106,86,5,12,7
"Protein",g,0.93,19,0.008,1.19,1.02,1.13,0.67,0.57,0.47,0.03,0.07,0.04
"Total lipid (fat)",g,0.24,26,0.010,0.31,0.26,0.29,0.17,0.15,0.12,0.01,0.02,0.01
"Ash",g,0.97,19,0.010,1.24,1.07,1.18,0.70,0.59,0.48,0.03,0.07,0.04
"Carbohydrate, by difference",g,9.58,--,--,12.26,10.54,11.69,6.90,5.84,4.79,0.29,0.67,0.38
"Fiber, total dietary",g,2.8,4,--,3.6,3.1,3.4,2.0,1.7,1.4,0.1,0.2,0.1
"Sugars, total",g,4.74,--,--,6.07,5.21,5.78,3.41,2.89,2.37,0.14,0.33,0.19
"Sucrose",g,3.59,11,0.280,4.60,3.95,4.38,2.58,2.19,1.79,0.11,0.25,0.14
"Glucose (dextrose)",g,0.59,11,0.140,0.76,0.65,0.72,0.42,0.36,0.29,0.02,0.04,0.02
"Fructose",g,0.55,11,0.090,0.70,0.61,0.67,0.40,0.34,0.28,0.02,0.04,0.02
"Lactose",g,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Galactose",g,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Starch",g,1.43,2,--,1.83,1.57,1.74,1.03,0.87,0.71,0.04,0.10,0.06
Minerals
"Calcium, Ca",mg,33,75,1.000,42,36,40,24,20,16,1,2,1
"Iron, Fe",mg,0.30,75,0.010,0.38,0.33,0.37,0.22,0.18,0.15,0.01,0.02,0.01
"Magnesium, Mg",mg,12,75,0.000,15,13,15,9,7,6,0,1,0
"Phosphorus, P",mg,35,75,0.000,45,38,43,25,21,18,1,2,1
"Potassium, K",mg,320,76,8.000,410,352,390,230,195,160,10,22,13
"Sodium, Na",mg,69,81,3.000,88,76,84,50,42,34,2,5,3
"Zinc, Zn",mg,0.24,76,0.010,0.31,0.26,0.29,0.17,0.15,0.12,0.01,0.02,0.01
"Copper, Cu",mg,0.045,70,0.007,0.058,0.050,0.055,0.032,0.027,0.022,0.001,0.003,0.002
"Manganese, Mn",mg,0.143,66,0.006,0.183,0.157,0.174,0.103,0.087,0.071,0.004,0.010,0.006
"Selenium, Se",µg,0.1,39,0.038,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0
"Fluoride, F",µg,3.2,21,0.400,4.1,3.5,3.9,2.3,2.0,1.6,0.1,0.2,0.1
Vitamins
"Vitamin C, total ascorbic acid",mg,5.9,21,1.100,7.6,6.5,7.2,4.2,3.6,3.0,0.2,0.4,0.2
"Thiamin",mg,0.066,21,0.011,0.084,0.073,0.081,0.048,0.040,0.033,0.002,0.005,0.003
"Riboflavin",mg,0.058,19,0.013,0.074,0.064,0.071,0.042,0.035,0.029,0.002,0.004,0.002
"Niacin",mg,0.983,19,0.215,1.258,1.081,1.199,0.708,0.600,0.491,0.029,0.069,0.039
"Pantothenic acid",mg,0.273,9,0.145,0.349,0.300,0.333,0.197,0.167,0.137,0.008,0.019,0.011
"Vitamin B-6",mg,0.138,19,0.030,0.177,0.152,0.168,0.099,0.084,0.069,0.004,0.010,0.006
"Folate, total",µg,19,19,5.000,24,21,23,14,12,10,1,1,1
"Folic acid",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Folate, food",µg,19,19,5.000,24,21,23,14,12,10,1,1,1
"Folate, DFE",µg,19,--,--,24,21,23,14,12,10,1,1,1
"Choline, total",mg,8.8,--,--,11.3,9.7,10.7,6.3,5.4,4.4,0.3,0.6,0.4
"Betaine",mg,0.4,1,--,0.5,0.4,0.5,0.3,0.2,0.2,0.0,0.0,0.0
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,835,--,--,1069,918,1019,601,509,418,25,58,33
"Retinol",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Carotene, beta",µg,8285,197,1082.000,10605,9114,10108,5965,5054,4142,249,580,331
"Carotene, alpha",µg,3477,190,531.000,4451,3825,4242,2503,2121,1738,104,243,139
"Cryptoxanthin, beta",µg,0,45,--,0,0,0,0,0,0,0,0,0
"Vitamin A, IU",IU,16706,--,--,21384,18377,20381,12028,10191,8353,501,1169,668
"Lycopene",µg,1,8,0.000,1,1,1,1,1,0,0,0,0
"Lutein + zeaxanthin",µg,256,10,62.000,328,282,312,184,156,128,8,18,10
"Vitamin E (alpha-tocopherol)",mg,0.66,11,0.260,0.84,0.73,0.81,0.48,0.40,0.33,0.02,0.05,0.03
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, beta",mg,0.01,11,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
"Tocopherol, gamma",mg,0.00,11,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, delta",mg,0.00,11,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, alpha",mg,0.01,5,0.010,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
"Tocotrienol, beta",mg,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, gamma",mg,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocotrienol, delta",mg,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,13.2,4,--,16.9,14.5,16.1,9.5,8.1,6.6,0.4,0.9,0.5
Lipids
"Fatty acids, total saturated",g,0.032,--,--,0.041,0.035,0.039,0.023,0.020,0.016,0.001,0.002,0.001
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
