Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5.3_2019-06-13
Full Report (All Nutrients)
Report Run at: September 05 2019 02:23 EDT
"Nutrient data for: Celery, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: Fat Factor: Protein Factor: Nitrogen to Protein Conversion Factor: 
Refuse: Refuse Description: 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup chopped = 101.0g","1 NLEA serving = 110.0g","1 tbsp = 7.5g","1 stalk, large (11""-12"" long) = 64.0g","1 stalk, medium (7-1/2"" - 8"" long) = 40.0g","1 stalk, small (5"" long) = 17.0g","1 strip (4"" long) = 4.0g",
Proximates
"Water",g,95.43,18,0.120,96.38,104.97,7.16,61.08,38.17,16.22,3.82
"Energy",kcal,14,--,--,14,15,1,9,6,2,1
"Energy",kJ,57,--,--,58,63,4,36,23,10,2
"Protein",g,0.69,8,0.040,0.70,0.76,0.05,0.44,0.28,0.12,0.03
"Total lipid (fat)",g,0.17,15,0.040,0.17,0.19,0.01,0.11,0.07,0.03,0.01
"Ash",g,0.75,8,0.030,0.76,0.82,0.06,0.48,0.30,0.13,0.03
"Carbohydrate, by difference",g,2.97,--,--,3.00,3.27,0.22,1.90,1.19,0.50,0.12
"Fiber, total dietary",g,1.6,8,0.100,1.6,1.8,0.1,1.0,0.6,0.3,0.1
"Sugars, total",g,1.34,--,--,1.35,1.47,0.10,0.86,0.54,0.23,0.05
"Sucrose",g,0.08,15,0.040,0.08,0.09,0.01,0.05,0.03,0.01,0.00
"Glucose (dextrose)",g,0.40,15,0.080,0.40,0.44,0.03,0.26,0.16,0.07,0.02
"Fructose",g,0.37,15,0.030,0.37,0.41,0.03,0.24,0.15,0.06,0.01
"Lactose",g,0.00,8,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.00,8,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Galactose",g,0.48,4,0.070,0.48,0.53,0.04,0.31,0.19,0.08,0.02
"Starch",g,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,40,55,1.000,40,44,3,26,16,7,2
"Iron, Fe",mg,0.20,56,0.010,0.20,0.22,0.01,0.13,0.08,0.03,0.01
"Magnesium, Mg",mg,11,56,0.000,11,12,1,7,4,2,0
"Phosphorus, P",mg,24,55,0.000,24,26,2,15,10,4,1
"Potassium, K",mg,260,56,7.000,263,286,20,166,104,44,10
"Sodium, Na",mg,80,56,3.000,81,88,6,51,32,14,3
"Zinc, Zn",mg,0.13,55,0.010,0.13,0.14,0.01,0.08,0.05,0.02,0.01
"Copper, Cu",mg,0.035,55,0.004,0.035,0.039,0.003,0.022,0.014,0.006,0.001
"Manganese, Mn",mg,0.103,56,0.005,0.104,0.113,0.008,0.066,0.041,0.018,0.004
"Selenium, Se",µg,0.4,36,0.100,0.4,0.4,0.0,0.3,0.2,0.1,0.0
"Fluoride, F",µg,4.0,9,--,4.0,4.4,0.3,2.6,1.6,0.7,0.2
Vitamins
"Vitamin C, total ascorbic acid",mg,3.1,8,1.100,3.1,3.4,0.2,2.0,1.2,0.5,0.1
"Thiamin",mg,0.021,8,0.001,0.021,0.023,0.002,0.013,0.008,0.004,0.001
"Riboflavin",mg,0.057,8,0.005,0.058,0.063,0.004,0.036,0.023,0.010,0.002
"Niacin",mg,0.320,6,0.043,0.323,0.352,0.024,0.205,0.128,0.054,0.013
"Pantothenic acid",mg,0.246,8,0.019,0.248,0.271,0.018,0.157,0.098,0.042,0.010
"Vitamin B-6",mg,0.074,8,0.011,0.075,0.081,0.006,0.047,0.030,0.013,0.003
"Folate, total",µg,36,8,10.000,36,40,3,23,14,6,1
"Folic acid",µg,0,--,--,0,0,0,0,0,0,0
