Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5.3_2019-06-13
Full Report (All Nutrients)
Report Run at: September 05 2019 02:26 EDT
"Nutrient data for: Spinach, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: Fat Factor: Protein Factor: Nitrogen to Protein Conversion Factor: 
Refuse: Refuse Description: 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup = 30.0g","1 bunch = 340.0g","1 leaf = 10.0g","1 package (10 oz) = 284.0g",
Proximates
"Water",g,91.40,1,--,27.42,310.76,9.14,259.58
"Energy",kcal,23,--,--,7,78,2,65
"Energy",kJ,97,--,--,29,330,10,275
"Protein",g,2.86,9,0.110,0.86,9.72,0.29,8.12
"Total lipid (fat)",g,0.39,7,0.030,0.12,1.33,0.04,1.11
"Ash",g,1.72,8,0.030,0.52,5.85,0.17,4.88
"Carbohydrate, by difference",g,3.63,--,--,1.09,12.34,0.36,10.31
"Fiber, total dietary",g,2.2,1,--,0.7,7.5,0.2,6.2
"Sugars, total",g,0.42,--,--,0.13,1.43,0.04,1.19
"Sucrose",g,0.07,8,0.030,0.02,0.24,0.01,0.20
"Glucose (dextrose)",g,0.11,8,0.030,0.03,0.37,0.01,0.31
"Fructose",g,0.15,8,0.070,0.04,0.51,0.01,0.43
"Lactose",g,0.00,1,--,0.00,0.00,0.00,0.00
"Maltose",g,0.00,1,--,0.00,0.00,0.00,0.00
"Galactose",g,0.10,1,--,0.03,0.34,0.01,0.28
Minerals
"Calcium, Ca",mg,99,9,4.000,30,337,10,281
"Iron, Fe",mg,2.71,10,0.520,0.81,9.21,0.27,7.70
"Magnesium, Mg",mg,79,7,4.000,24,269,8,224
"Phosphorus, P",mg,49,7,3.000,15,167,5,139
"Potassium, K",mg,558,10,28.000,167,1897,56,1585
"Sodium, Na",mg,79,10,10.000,24,269,8,224
"Zinc, Zn",mg,0.53,7,0.030,0.16,1.80,0.05,1.51
"Copper, Cu",mg,0.130,7,0.007,0.039,0.442,0.013,0.369
"Manganese, Mn",mg,0.897,6,0.048,0.269,3.050,0.090,2.547
"Selenium, Se",µg,1.0,5,0.300,0.3,3.4,0.1,2.8
Vitamins
"Vitamin C, total ascorbic acid",mg,28.1,7,4.100,8.4,95.5,2.8,79.8
"Thiamin",mg,0.078,9,0.008,0.023,0.265,0.008,0.222
