Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5.3_2019-06-13
Full Report (All Nutrients)
Report Run at: September 05 2019 02:27 EDT
"Nutrient data for: Tomatoes, red, ripe, raw, year round average"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: Fat Factor: Protein Factor: Nitrogen to Protein Conversion Factor: 
Refuse: Refuse Description: 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup cherry tomatoes = 149.0g","1 cup, chopped or sliced = 180.0g","1 Italian tomato = 62.0g","1 cherry = 17.0g","1 large whole (3"" dia) = 182.0g","1 medium whole (2-3/5"" dia) = 123.0g","1 slice, medium (1/4"" thick) = 20.0g","1 plum tomato = 62.0g","1 small whole (2-2/5"" dia) = 91.0g","1 slice, thick/large (1/2"" thick) = 27.0g","1 wedge (1/4 of medium tomato) = 31.0g","1 slice, thin/small = 15.0g","1 NLEA serving = 148.0g",
Proximates
"Water",g,94.52,39,0.130,140.83,170.14,58.60,16.07,172.03,116.26,18.90,58.60,86.01,25.52,29.30,14.18,139.89
"Energy",kcal,18,--,--,27,32,11,3,33,22,4,11,16,5,6,3,27
"Energy",kJ,74,--,--,110,133,46,13,135,91,15,46,67,20,23,11,110
"Protein",g,0.88,19,0.030,1.31,1.58,0.55,0.15,1.60,1.08,0.18,0.55,0.80,0.24,0.27,0.13,1.30
"Total lipid (fat)",g,0.20,26,0.030,0.30,0.36,0.12,0.03,0.36,0.25,0.04,0.12,0.18,0.05,0.06,0.03,0.30
"Ash",g,0.50,19,0.010,0.74,0.90,0.31,0.09,0.91,0.61,0.10,0.31,0.46,0.14,0.15,0.07,0.74
"Carbohydrate, by difference",g,3.89,--,--,5.80,7.00,2.41,0.66,7.08,4.78,0.78,2.41,3.54,1.05,1.21,0.58,5.76
"Fiber, total dietary",g,1.2,5,0.200,1.8,2.2,0.7,0.2,2.2,1.5,0.2,0.7,1.1,0.3,0.4,0.2,1.8
"Sugars, total",g,2.63,--,--,3.92,4.73,1.63,0.45,4.79,3.23,0.53,1.63,2.39,0.71,0.82,0.39,3.89
"Sucrose",g,0.00,12,0.002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Glucose (dextrose)",g,1.25,16,0.130,1.86,2.25,0.78,0.21,2.27,1.54,0.25,0.78,1.14,0.34,0.39,0.19,1.85
"Fructose",g,1.37,17,0.070,2.04,2.47,0.85,0.23,2.49,1.69,0.27,0.85,1.25,0.37,0.42,0.21,2.03
"Lactose",g,0.00,9,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.00,9,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Galactose",g,0.00,4,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Starch",g,0.00,4,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,10,69,0.000,15,18,6,2,18,12,2,6,9,3,3,2,15
"Iron, Fe",mg,0.27,70,0.010,0.40,0.49,0.17,0.05,0.49,0.33,0.05,0.17,0.25,0.07,0.08,0.04,0.40
"Magnesium, Mg",mg,11,70,0.000,16,20,7,2,20,14,2,7,10,3,3,2,16
"Phosphorus, P",mg,24,69,0.000,36,43,15,4,44,30,5,15,22,6,7,4,36
"Potassium, K",mg,237,67,5.000,353,427,147,40,431,292,47,147,216,64,73,36,351
"Sodium, Na",mg,5,66,0.000,7,9,3,1,9,6,1,3,5,1,2,1,7
"Zinc, Zn",mg,0.17,70,0.030,0.25,0.31,0.11,0.03,0.31,0.21,0.03,0.11,0.15,0.05,0.05,0.03,0.25
"Copper, Cu",mg,0.059,70,0.002,0.088,0.106,0.037,0.010,0.107,0.073,0.012,0.037,0.054,0.016,0.018,0.009,0.087
"Manganese, Mn",mg,0.114,70,0.013,0.170,0.205,0.071,0.019,0.207,0.140,0.023,0.071,0.104,0.031,0.035,0.017,0.169
"Selenium, Se",µg,0.0,36,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fluoride, F",µg,2.3,1,--,3.4,4.1,1.4,0.4,4.2,2.8,0.5,1.4,2.1,0.6,0.7,0.3,3.4
Vitamins
"Vitamin C, total ascorbic acid",mg,13.7,25,0.800,20.4,24.7,8.5,2.3,24.9,16.9,2.7,8.5,12.5,3.7,4.2,2.1,20.3
"Thiamin",mg,0.037,19,0.004,0.055,0.067,0.023,0.006,0.067,0.046,0.007,0.023,0.034,0.010,0.011,0.006,0.055
"Riboflavin",mg,0.019,19,0.001,0.028,0.034,0.012,0.003,0.035,0.023,0.004,0.012,0.017,0.005,0.006,0.003,0.028
"Niacin",mg,0.594,19,0.032,0.885,1.069,0.368,0.101,1.081,0.731,0.119,0.368,0.541,0.160,0.184,0.089,0.879
"Pantothenic acid",mg,0.089,11,0.014,0.133,0.160,0.055,0.015,0.162,0.109,0.018,0.055,0.081,0.024,0.028,0.013,0.132
"Vitamin B-6",mg,0.080,19,0.003,0.119,0.144,0.050,0.014,0.146,0.098,0.016,0.050,0.073,0.022,0.025,0.012,0.118
"Folate, total",µg,15,19,2.000,22,27,9,3,27,18,3,9,14,4,5,2,22
"Folic acid",µg,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
"Folate, food",µg,15,19,2.000,22,27,9,3,27,18,3,9,14,4,5,2,22
"Folate, DFE",µg,15,--,--,22,27,9,3,27,18,3,9,14,4,5,2,22
"Choline, total",mg,6.7,--,--,10.0,12.1,4.2,1.1,12.2,8.2,1.3,4.2,6.1,1.8,2.1,1.0,9.9
"Betaine",mg,0.1,2,--,0.1,0.2,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,42,--,--,63,76,26,7,76,52,8,26,38,11,13,6,62
"Retinol",µg,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carotene, beta",µg,449,70,2.000,669,808,278,76,817,552,90,278,409,121,139,67,665
"Carotene, alpha",µg,101,66,101.000,150,182,63,17,184,124,20,63,92,27,31,15,149
"Cryptoxanthin, beta",µg,0,10,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin A, IU",IU,833,--,--,1241,1499,516,142,1516,1025,167,516,758,225,258,125,1233
"Lycopene",µg,2573,13,54.000,3834,4631,1595,437,4683,3165,515,1595,2341,695,798,386,3808
"Lutein + zeaxanthin",µg,123,10,4.000,183,221,76,21,224,151,25,76,112,33,38,18,182
"Vitamin E (alpha-tocopherol)",mg,0.54,16,0.070,0.80,0.97,0.33,0.09,0.98,0.66,0.11,0.33,0.49,0.15,0.17,0.08,0.80
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, beta",mg,0.01,16,0.002,0.01,0.02,0.01,0.00,0.02,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01
"Tocopherol, gamma",mg,0.12,16,0.010,0.18,0.22,0.07,0.02,0.22,0.15,0.02,0.07,0.11,0.03,0.04,0.02,0.18
"Tocopherol, delta",mg,0.00,16,0.002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
