Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.3_2019-06-13
Report Run at: September 04 2019 06:26 EDT
"Nutrient data for: ORGANIC WHOLE GROUND TIGERNUT, UPC: 854437005240"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.25 cup = 30.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,120,400
"Protein",g,--,--,2.00,6.67
"Total lipid (fat)",g,--,--,7.00,23.33
"Carbohydrate, by difference",g,--,--,19.00,63.33
"Fiber, total dietary",g,--,--,10.0,33.3
"Sugars, total",g,--,--,9.00,30.00
Minerals
"Calcium, Ca",mg,--,--,30,100
"Iron, Fe",mg,--,--,1.80,6.00
"Magnesium, Mg",mg,--,--,28,93
"Potassium, K",mg,--,--,215,717
"Sodium, Na",mg,--,--,0,0
"Zinc, Zn",mg,--,--,1.05,3.50
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,1.8,6.0
"Vitamin B-6",mg,--,--,0.100,0.333
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,2.001,6.670
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ORGANIC WHOLE GROUND TIGERNUTS" Date available: 03/12/2018 Date last updated by company: 03/12/2018
