Shortcut;Name;Phase;Molar Mass;Nutritional Energy;Melting Point;Boiling Point;Density;Heat Capacity;Linear Expansion Coefficient;Modulus of Elasticity;Thermal Conductivity; Charge;;
sSubstance;sName;ttxPhases;fMolarMass;fNutritionalEnergy;fMeltPoint;fBoilPoint;fDensity;fCp;fExpCoeff;fModElast;fThermalConductivity;iCharge; number of properties is not limited. as long as the name is in the first row and the variablename in the second!;
-;-;-;kg/mol;J/kg;K;K;kg/m3;J/(kg*K);-;-;W/(m*K);-;;
NH3;Ammonia;gas;0.01703052;0;195.42;239.81;0.717;2165;;;;0;;
H2SO4;SulfuricAcid;liquid;0.09807848;0;283;610;1840;4186;;;;0;heat capacity for water at 1 bar and 20øC; H2SO4 concentration is assumed to be low
NO3;Nitrate;solid;0.0620049;0;;;804;1860;;;;0;;
NO3;Nitrate;liquid;0.0620049;0;;;804;1860;;;;0;;
CH4;Methane;gas;0.01604246;0;90.7;111.66;0.668;8916.7;;;;0;;
Plastic;Plastic;solid;0.04347;0;;;980;;;;;0;;
H2O2;HydrogenPeroxide;liquid;0.03401468;0;272.72;423.3;1450;1267;;;;0;http://webbook.nist.gov/cgi/inchi/InChI%3D1S/H2O2/c1-2/h1-2H;
O3;Ozone;gas;0.0479982;0;81;161;2.144;;;;;0;;
KO2;PotassiumSuperoxide;solid;0.0711;0;653.15;;2140;;;;;0;;
KOH;PotassiumHydroxide;solid;0.05611;0;633.15;1593.15;2044;1180;;;;0;;
LiOH;LithiumHydroxide;solid;0.02395;0;735;1197;1460;2071;;;;0;;
H;Hydrogen;gas;0.00100794;0;14.15;20.25;0.084;709;;0.02;;0;;
He;Helium;gas;0.0040026;0;1.15;4.25;0.17;5193;;0.1;;0;;
Li;Lithium;solid;0.006941;0;453.65;1615.15;530;3582;58;1.16;;0;;
Be;Beryllium;solid;0.009012182;0;1551.15;3243.15;1850;1825;12.3;10.03;;0;;
B;Boron;solid;0.010811;0;2573.15;2823.15;2460;1026;;17.8;;0;;
C;Carbon;solid;0.0120107;0;3923.15;5100.15;3510;709;1.2;54.5;;0;;
C;Carbon;liquid;0.0120107;0;3923.15;5100.15;;600;;;;0;;
C;Carbon;gas;0.0120107;0;3923.15;5100.15;;600;;;;0;;
N;Nitrogen;gas;0.0140067;0;63.15;77.35;1.17;1042;;0.12;;0;;
O;Oxygen;gas;0.0159994;0;54.15;90.15;1.33;92;;;;0;;
F;Fluorine;gas;0.018998403;0;54.15;85.05;1.58;824;;;;0;;
Ne;Neon;gas;0.0201797;0;24.15;27.15;0.84;1030;;0.1;;0;;
Na;Sodium;solid;0.02298977;0;370.95;1156.15;970;1230;71;0.68;;0;;
Mg;Magnesium;solid;0.024305;0;921.95;1380.15;1740;1020;26;3.54;;0;;
Al;Aluminium;solid;0.026981538;0;933.55;2740.15;2700;900;23.8;7.22;;0;;
Si;Silicon;solid;0.0280855;0;1683.15;2628.15;2330;700;7.6;9.88;;0;;
P;Phosphorus;solid;0.030973761;0;317.25;553.15;1820;769;124;3.04;;0;;
S;Sulfur;solid;0.032065;0;392.15;3104.15;2060;710;64.1;1.78;;0;;
Cl;Chlorine;gas;0.035453;0;172.15;238.55;2.95;480;;;;0;;
Ar;Argon;gas;0.039948;0;84.15;87.45;1.66;520;;0.16;;0;;
K;Potassium;solid;0.0390983;0;336.45;1033.15;860;757;84;0.32;;0;;
Ca;Calcium;solid;0.040078;0;1112.15;1757.15;1540;647;22.5;1.52;;0;;
Sc;Scandium;solid;0.04495591;0;1812.15;3104.15;2990;568;;4.35;;0;;
Ti;Titanium;solid;0.047867;0;1933.15;3560.15;4510;523;9;10.51;;0;;
V;Vanadium;solid;0.0509415;0;2163.15;3653.15;6090;489;;16.19;;0;;
Cr;Chromium;solid;0.0519961;0;2130.15;2945.15;7140;449;7.5;19.01;;0;;
Mn;Manganese;solid;0.054938049;0;1517.15;2235.15;7440;480;23;5.96;;0;;
Fe;Iron;solid;0.055845;0;1808.15;3023.15;7870;449;12;16.83;;0;;
Co;Cobalt;solid;0.0589332;0;1768.15;3143.15;8890;421;13;19.14;;0;;
Ni;Nickel;solid;0.0586934;0;1726.15;3003.15;8910;444;12.8;18.6;;0;;
