sLabel,iUSDAID,fWaterMass,fEnergyMass,fProteinMass,fProteinDMF,fProteinEnergyFactor,fLipidMass,fLipidDMF,fLipidEnergyFactor,fCarbohydrateMass,fCarbohydrateDMF,fCarbohydrateEnergyFactor,fAshMass,fCalciumMass,fIronMass,fMagnesiumMass,fPhosphorusMass,fPotassiumMass,fSodiumMass,fZincMass,fCopperMass,fManganeseMass,fSeleniumMass,fFluorideMass,fCalciumDMF,fIronDMF,fMagnesiumDMF,fPhosphorusDMF,fPotassiumDMF,fSodiumDMF,fZincDMF,fCopperDMF,fManganeseDMF,fSeleniumDMF,fFluorideDMF,fVitaminCMass,fThiaminMass,fRiboflavinMass,fNiacinMass,fPantothenicAcidMass,fVitaminB6Mass,fFolateMass,fVitaminB12Mass,fVitaminAMass,fVitaminEMass,fVitaminDMass,fVitaminKMass,fVitaminCDMF,fThiaminDMF,fRiboflavinDMF,fNiacinDMF,fPantothenicAcidDMF,fVitaminB6DMF,fFolateDMF,fVitaminB12DMF,fVitaminADMF,fVitaminEDMF,fVitaminDDMF,fVitaminKDMF,fTryptophanMass,fThreonineMass,fIsoleucineMass,fLeucineMass,fLysineMass,fMethionineMass,fCystineMass,fPhenylalanineMass,fTyrosineMass,fValineMass,fHistidineMass,fTryptophanDMF,fThreonineDMF,fIsoleucineDMF,fLeucineDMF,fLysineDMF,fMethionineDMF,fCystineDMF,fPhenylalanineDMF,fTyrosineDMF,fValineDMF,fHistidineDMF
sLabel,iUSDAID,fWaterMass,fEnergyMass,fProteinMass,fProteinDMF,fProteinEnergyFactor,fLipidMass,fLipidDMF,fLipidEnergyFactor,fCarbohydrateMass,fCarbohydrateDMF,fCarbohydrateEnergyFactor,fAshMass,fCalciumMass,fIronMass,fMagnesiumMass,fPhosphorusMass,fPotassiumMass,fSodiumMass,fZincMass,fCopperMass,fManganeseMass,fSeleniumMass,fFluorideMass,fCalciumDMF,fIronDMF,fMagnesiumDMF,fPhosphorusDMF,fPotassiumDMF,fSodiumDMF,fZincDMF,fCopperDMF,fManganeseDMF,fSeleniumDMF,fFluorideDMF,fVitaminCMass,fThiaminMass,fRiboflavinMass,fNiacinMass,fPantothenicAcidMass,fVitaminB6Mass,fFolateMass,fVitaminB12Mass,fVitaminAMass,fVitaminEMass,fVitaminDMass,fVitaminKMass,fVitaminCDMF,fThiaminDMF,fRiboflavinDMF,fNiacinDMF,fPantothenicAcidDMF,fVitaminB6DMF,fFolateDMF,fVitaminB12DMF,fVitaminADMF,fVitaminEDMF,fVitaminDDMF,fVitaminKDMF,fTryptophanMass,fThreonineMass,fIsoleucineMass,fLeucineMass,fLysineMass,fMethionineMass,fCystineMass,fPhenylalanineMass,fTyrosineMass,fValineMass,fHistidineMass,fTryptophanDMF,fThreonineDMF,fIsoleucineDMF,fLeucineDMF,fLysineDMF,fMethionineDMF,fCystineDMF,fPhenylalanineDMF,fTyrosineDMF,fValineDMF,fHistidineDMF
-,-,kg/kg,J/kg,kg/kg,-,J/kg,kg/kg,-,J/kg,kg/kg,-,J/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,-,-,-,-,-,-,-,-,-,-,-,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,-,-,-,-,-,-,-,-,-,-,-,-,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,-,-,-,-,-,-,-,-,-,-,-
Cabbage,11109,9.2180E-01,1.0300E+06,1.2800E-02,1.6368E-01,1.0209E+07,1.0000E-03,1.2788E-02,3.5020E+07,5.8000E-02,7.4169E-01,1.4937E+07,6.4000E-03,4.0000E-04,2.7000E-06,1.2000E-04,2.6000E-04,1.7000E-03,1.8000E-04,1.8000E-06,1.9000E-07,1.6000E-06,3.0000E-06,1.0000E-05,5.1151E-03,3.4527E-05,1.5345E-03,3.3248E-03,2.1739E-02,2.3018E-03,2.3018E-05,2.4297E-06,2.0460E-05,3.8363E-08,1.2788E-07,3.6600E-04,6.1000E-07,4.0000E-07,2.3400E-06,2.1200E-06,1.2400E-06,4.3000E-07,0.0000E+00,5.0000E-08,1.5000E-06,0.0000E+00,7.6000E-07,4.6803E-03,7.8005E-06,5.1151E-06,2.9923E-05,2.7110E-05,1.5857E-05,5.4987E-06,0.0000E+00,6.3939E-07,1.9182E-05,0.0000E+00,9.7187E-06,1.1000E-04,3.5000E-04,3.0000E-04,4.1000E-04,4.4000E-04,1.2000E-04,1.1000E-04,3.2000E-04,1.9000E-04,4.2000E-04,2.2000E-04,1.4066E-03,4.4757E-03,3.8363E-03,5.2430E-03,5.6266E-03,1.5345E-03,1.4066E-03,4.0921E-03,2.4297E-03,5.3708E-03,2.8133E-03
Carrots,11124,8.8290E-01,1.7300E+06,9.3000E-03,7.9419E-02,1.1632E+07,2.4000E-03,2.0495E-02,3.5020E+07,9.5800E-02,8.1810E-01,1.6067E+07,9.7000E-03,3.3000E-04,3.0000E-06,1.2000E-04,3.5000E-04,3.2000E-03,6.9000E-04,2.4000E-06,4.5000E-07,1.4300E-06,1.0000E-06,3.2000E-05,2.8181E-03,2.5619E-05,1.0248E-03,2.9889E-03,2.7327E-02,5.8924E-03,2.0495E-05,3.8429E-06,1.2212E-05,8.5397E-09,2.7327E-07,5.9000E-05,6.6000E-07,5.8000E-07,9.8300E-06,2.7300E-06,1.3800E-06,1.9000E-07,0.0000E+00,8.3500E-06,6.6000E-06,0.0000E+00,1.3200E-07,5.0384E-04,5.6362E-06,4.9530E-06,8.3945E-05,2.3313E-05,1.1785E-05,1.6225E-06,0.0000E+00,7.1307E-05,5.6362E-05,0.0000E+00,1.1272E-06,1.2000E-04,1.9100E-03,7.7000E-04,1.0200E-03,1.0100E-03,2.0000E-04,8.3000E-04,6.1000E-04,4.3000E-04,6.9000E-04,4.0000E-04,1.0248E-03,1.6311E-02,6.5756E-03,8.7105E-03,8.6251E-03,1.7079E-03,7.0880E-03,5.2092E-03,3.6721E-03,5.8924E-03,3.4159E-03
Celery,11143,9.5430E-01,6.7000E+05,6.9000E-03,1.5098E-01,1.0209E+07,1.7000E-03,3.7199E-02,3.5020E+07,2.9700E-02,6.4989E-01,1.4937E+07,7.5000E-03,4.0000E-04,2.0000E-06,1.1000E-04,2.4000E-04,2.6000E-03,8.0000E-04,1.3000E-06,3.5000E-07,1.0300E-06,4.0000E-07,4.0000E-05,8.7527E-03,4.3764E-05,2.4070E-03,5.2516E-03,5.6893E-02,1.7505E-02,2.8446E-05,7.6586E-06,2.2538E-05,8.7527E-09,8.7527E-07,3.0000E-04,4.0000E-07,9.0000E-07,4.0000E-06,1.7200E-06,9.9000E-07,1.4000E-07,0.0000E+00,3.0600E-06,1.8900E-05,0.0000E+00,8.3000E-06,4.0872E-03,5.4496E-06,1.2262E-05,5.4496E-05,2.3433E-05,1.3488E-05,1.9074E-06,0.0000E+00,4.1689E-05,2.5749E-04,0.0000E+00,1.1308E-04,1.7000E-04,8.3000E-04,1.4700E-03,1.3000E-03,9.9000E-04,1.9000E-04,0.0000E+00,1.1000E-04,0.0000E+00,1.1000E-04,3.6000E-04,2.3161E-03,1.1308E-02,2.0027E-02,1.7711E-02,1.3488E-02,2.5886E-03,0.0000E+00,1.4986E-03,0.0000E+00,1.4986E-03,4.9046E-03
Chard,11147,9.2660E-01,7.9000E+05,1.8000E-02,2.4523E-01,1.0209E+07,2.0000E-03,2.7248E-02,3.5020E+07,3.7400E-02,5.0954E-01,1.4937E+07,1.6000E-02,5.1000E-04,1.8000E-05,8.1000E-04,4.6000E-04,3.7900E-03,2.1300E-03,3.6000E-06,1.7900E-06,3.6600E-06,9.0000E-06,0.0000E+00,6.9482E-03,2.4523E-04,1.1035E-02,6.2670E-03,5.1635E-02,2.9019E-02,4.9046E-05,2.4387E-05,4.9864E-05,1.2262E-07,0.0000E+00,3.1000E-05,2.1000E-07,5.7000E-07,3.2000E-06,2.4600E-06,7.4000E-07,3.6000E-07,0.0000E+00,2.2000E-07,2.7000E-06,0.0000E+00,2.9300E-07,6.7834E-04,4.5952E-06,1.2473E-05,7.0022E-05,5.3829E-05,1.6193E-05,7.8775E-06,0.0000E+00,4.8140E-06,5.9081E-05,0.0000E+00,6.4114E-06,9.0000E-05,2.0000E-04,2.1000E-04,3.2000E-04,2.7000E-04,5.0000E-05,4.0000E-05,2.0000E-04,9.0000E-05,2.7000E-04,1.2000E-04,1.9694E-03,4.3764E-03,4.5952E-03,7.0022E-03,5.9081E-03,1.0941E-03,8.7527E-04,4.3764E-03,1.9694E-03,5.9081E-03,2.6258E-03
Chufa,45243514,5.000E-02,1.995E+07,7.00E-02,7.3684E-02,1.4518E+07,2.330E-01,2.456E-01,3.5020E+07,6.333E-01,6.666E-01,1.7029E+07,1.340E-02,9.2000E-04,4.5800E-05,1.6800E-03,3.7600E-03,7.0500E-03,1.8000E-04,3.2700E-05,1.1440E-05,1.9340E-05,7.2000E-05,0.0000E+00,9.8396E-04,4.8984E-05,1.7968E-03,4.0214E-03,7.5401E-03,1.9251E-04,3.4973E-05,1.2235E-05,2.0684E-05,7.7005E-08,0.0000E+00,0.0000E+00,6.4000E-06,1.3500E-06,1.2066E-04,1.7670E-05,3.4800E-06,2.4000E-06,0.0000E+00,0.0000E+00,8.3300E-05,0.0000E+00,0.0000E+00,0.0000E+00,6.8449E-06,1.4439E-06,1.2905E-04,1.8898E-05,3.7219E-06,2.5668E-06,0.0000E+00,0.0000E+00,8.9091E-05,0.0000E+00,0.0000E+00,2.5000E-03,8.8300E-03,9.0700E-03,1.6720E-02,9.2600E-03,3.1700E-03,3.3100E-03,1.3770E-02,1.0490E-02,1.0820E-02,6.5200E-03,2.6738E-03,9.4439E-03,9.7005E-03,1.7882E-02,9.9037E-03,3.3904E-03,3.5401E-03,1.4727E-02,1.1219E-02,1.1572E-02,6.9733E-03
Drybean,16027,1.1750E-01,1.3930E+07,2.3580E-01,2.6720E-01,1.4518E+07,8.3000E-03,9.4051E-03,3.5020E+07,6.0010E-01,6.8000E-01,1.7029E+07,3.8300E-02,1.4300E-03,8.2000E-05,1.4000E-03,4.0700E-03,1.4060E-02,2.4000E-04,2.7900E-05,9.5800E-06,1.0210E-05,3.2000E-05,0.0000E+00,1.6204E-03,9.2918E-05,1.5864E-03,4.6119E-03,1.5932E-02,2.7195E-04,3.1615E-05,1.0856E-05,1.1569E-05,3.6261E-08,0.0000E+00,4.5000E-05,5.2900E-06,2.1900E-06,2.0060E-04,7.8000E-06,3.9700E-06,3.9400E-06,0.0000E+00,0.0000E+00,2.2000E-06,0.0000E+00,1.9000E-07,5.0992E-05,5.9943E-06,2.4816E-06,2.2731E-04,8.8385E-06,4.4986E-06,4.4646E-06,0.0000E+00,0.0000E+00,2.4929E-06,0.0000E+00,2.1530E-07,2.7900E-03,9.9200E-03,1.0410E-02,1.8820E-02,1.6180E-02,3.5500E-03,2.5600E-03,1.2750E-02,6.6400E-03,1.2330E-02,6.5600E-03,3.1615E-03,1.1241E-02,1.1796E-02,2.1326E-02,1.8334E-02,4.0227E-03,2.9008E-03,1.4448E-02,7.5241E-03,1.3972E-02,7.4334E-03
Greenonion,11292,9.2320E-01,1.1200E+06,9.7000E-03,1.2630E-01,1.0209E+07,4.7000E-03,6.1198E-02,3.5020E+07,5.7400E-02,7.4740E-01,1.4937E+07,5.1000E-03,5.2000E-04,5.1000E-06,1.6000E-04,2.5000E-04,1.5900E-03,1.5000E-04,2.0000E-06,3.1000E-07,1.5000E-06,5.0000E-06,0.0000E+00,6.7708E-03,6.6406E-05,2.0833E-03,3.2552E-03,2.0703E-02,1.9531E-03,2.6042E-05,4.0365E-06,1.9531E-05,6.5104E-08,0.0000E+00,1.3400E-04,3.0000E-07,2.6000E-07,3.3000E-06,1.3800E-06,8.8000E-07,3.0000E-07,0.0000E+00,2.0000E-06,2.1000E-06,0.0000E+00,1.5630E-06,1.7448E-03,3.9063E-06,3.3854E-06,4.2969E-05,1.7969E-05,1.1458E-05,3.9063E-06,0.0000E+00,2.6042E-05,2.7344E-05,0.0000E+00,2.0352E-05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
Lettuce,11253,9.4980E-01,6.2000E+05,1.3600E-02,2.7092E-01,1.0209E+07,1.5000E-03,2.9880E-02,3.5020E+07,2.8700E-02,5.7171E-01,1.4937E+07,6.2000E-03,3.6000E-04,8.6000E-06,1.3000E-04,2.9000E-04,1.9400E-03,2.8000E-04,1.8000E-06,2.9000E-07,2.5000E-06,6.0000E-06,0.0000E+00,7.1713E-03,1.7131E-04,2.5896E-03,5.7769E-03,3.8645E-02,5.5777E-03,3.5857E-05,5.7769E-06,4.9801E-05,1.1952E-07,0.0000E+00,9.2000E-05,7.0000E-07,8.0000E-07,3.7500E-06,1.3400E-06,9.0000E-07,3.8000E-07,0.0000E+00,3.7000E-06,2.2000E-06,0.0000E+00,1.2630E-06,1.8327E-03,1.3944E-05,1.5936E-05,7.4701E-05,2.6693E-05,1.7928E-05,7.5697E-06,0.0000E+00,7.3705E-05,4.3825E-05,0.0000E+00,2.5159E-05,9.0000E-05,5.9000E-03,8.4000E-04,7.9000E-04,8.4000E-04,1.6000E-04,1.6000E-04,5.5000E-04,3.2000E-04,7.0000E-04,2.2000E-04,1.7928E-03,1.1753E-01,1.6733E-02,1.5737E-02,1.6733E-02,3.1873E-03,3.1873E-03,1.0956E-02,6.3745E-03,1.3944E-02,4.3825E-03
