04/04 10:03:18 AETHER has launched.
04/04 10:03:19 State changed from Exit to Warmup.
04/04 10:03:19 Environmental temperature: Warning
04/04 10:03:19 Oxygen pressure: Warning
04/04 10:03:19 Carbon dioxide pressure: Warning
04/04 10:03:19 Total pressure: Warning
04/04 10:03:19 Internal temperature: Warning
04/04 10:03:37 Total pressure: Safe
04/04 10:03:38 State changed from Warmup to Idle.
04/04 10:03:45 Internal temperature: Safe
04/04 10:04:04 State changed from Idle to Init.
04/04 10:04:10 Environmental temperature: Safe
04/04 10:04:10 Oxygen pressure: Safe
04/04 10:04:10 Carbon dioxide pressure: Safe
04/04 10:04:24 Environmental temperature: Warning
04/04 10:04:24 Environmental temperature: Safe
04/04 10:04:49 Oxygen pressure: Warning
04/04 10:04:49 Oxygen pressure: Safe
04/04 10:04:54 Oxygen pressure: Warning
04/04 10:04:55 Oxygen pressure: Safe
04/04 10:05:10 Oxygen pressure: Warning
04/04 10:05:11 Oxygen pressure: Safe
04/04 10:05:15 Oxygen pressure: Warning
04/04 10:05:16 Oxygen pressure: Safe
04/04 10:05:29 Oxygen pressure: Warning
04/04 10:05:29 Oxygen pressure: Safe
04/04 10:06:37 Environmental temperature: Warning
04/04 10:06:37 Environmental temperature: Safe
04/04 10:06:38 Environmental temperature: Warning
04/04 10:06:39 Environmental temperature: Safe
04/04 10:07:18 Oxygen pressure: Warning
04/04 10:07:19 Oxygen pressure: Safe
04/04 10:07:21 Oxygen pressure: Warning
04/04 10:07:21 Oxygen pressure: Safe
04/04 10:07:22 Oxygen pressure: Warning
04/04 10:07:23 Oxygen pressure: Safe
04/04 10:07:32 Oxygen pressure: Warning
04/04 10:07:33 Oxygen pressure: Safe
04/04 10:08:40 Oxygen pressure: Warning
04/04 10:08:40 Oxygen pressure: Safe
04/04 10:09:18 Oxygen pressure: Warning
04/04 10:09:19 Oxygen pressure: Safe
04/04 10:09:52 Oxygen pressure: Warning
04/04 10:09:52 Oxygen pressure: Safe
04/04 10:11:34 Oxygen pressure: Warning
04/04 10:11:34 Oxygen pressure: Safe
