,upstrm [Ambient]
,CO2
04/04/17 11:54:35.35,313
04/04/17 11:54:40.40,305
04/04/17 11:54:45.45,287
04/04/17 11:54:50.50,263
04/04/17 11:54:55.55,257
04/04/17 11:55:00.00,247
04/04/17 11:55:05.05,239
04/04/17 11:55:10.10,244
04/04/17 11:55:15.15,218
04/04/17 11:55:20.20,227
04/04/17 11:55:25.25,218
04/04/17 11:55:30.30,222
04/04/17 11:55:35.35,222
04/04/17 11:55:40.40,206
04/04/17 11:55:45.45,188
04/04/17 11:55:50.50,190
04/04/17 11:55:55.55,182
04/04/17 11:56:00.00,182
04/04/17 11:56:05.05,172
04/04/17 11:56:10.10,164
04/04/17 11:56:15.15,170
04/04/17 11:56:20.20,151
04/04/17 11:56:25.25,161
04/04/17 11:56:30.30,157
04/04/17 11:56:35.35,153
04/04/17 11:56:40.40,153
04/04/17 11:56:45.45,167
04/04/17 11:56:50.50,156
04/04/17 11:56:55.55,164
04/04/17 11:57:00.00,161
04/04/17 11:57:05.05,154
04/04/17 11:57:10.10,146
04/04/17 11:57:15.15,161
04/04/17 11:57:20.20,146
04/04/17 11:57:25.25,148
04/04/17 11:57:30.30,143
04/04/17 11:57:35.35,156
04/04/17 11:57:40.40,157
04/04/17 11:57:45.45,149
04/04/17 11:57:50.50,146
04/04/17 11:57:55.55,131
04/04/17 11:58:00.00,131
04/04/17 11:58:05.05,132
04/04/17 11:58:10.10,134
04/04/17 11:58:15.15,128
04/04/17 11:58:20.20,132
04/04/17 11:58:25.25,143
04/04/17 11:58:30.30,146
04/04/17 11:58:35.35,140
04/04/17 11:58:40.40,140
04/04/17 11:58:40.40,140
04/04/17 11:58:45.45,146
04/04/17 11:58:50.50,143
04/04/17 11:58:55.55,138
04/04/17 11:59:00.00,125
04/04/17 11:59:05.05,126
04/04/17 11:59:10.10,129
04/04/17 11:59:15.15,137
04/04/17 11:59:15.15,135
04/04/17 12:08:49.49,589
04/04/17 12:08:54.54,586
04/04/17 12:08:59.59,589
04/04/17 12:09:04.04,586
04/04/17 12:09:09.09,591
04/04/17 12:09:14.14,610
04/04/17 12:09:19.19,601
04/04/17 12:09:24.24,598
04/04/17 12:09:29.29,596
04/04/17 12:09:34.34,596
04/04/17 12:09:39.39,586
04/04/17 12:09:44.44,565
04/04/17 12:09:49.49,534
04/04/17 12:09:54.54,510
04/04/17 12:09:59.59,484
04/04/17 12:10:04.04,451
04/04/17 12:10:09.09,416
04/04/17 12:10:14.14,397
04/04/17 12:10:19.19,378
04/04/17 12:10:24.24,352
04/04/17 12:10:29.29,323
04/04/17 12:10:34.34,299
04/04/17 12:10:39.39,291
04/04/17 12:10:44.44,273
04/04/17 12:10:49.49,256
04/04/17 12:10:54.54,245
04/04/17 12:10:59.59,240
04/04/17 12:11:04.04,233
04/04/17 12:11:09.09,223
04/04/17 12:11:14.14,222
04/04/17 12:11:19.19,215
04/04/17 12:11:24.24,205
04/04/17 12:11:29.29,203
04/04/17 12:11:34.34,206
04/04/17 12:11:39.39,198
04/04/17 12:11:44.44,192
04/04/17 12:11:49.49,200
04/04/17 12:11:54.54,190
04/04/17 12:11:59.59,180
04/04/17 12:12:04.04,187
04/04/17 12:12:09.09,190
04/04/17 12:12:14.14,195
04/04/17 12:12:19.19,166
04/04/17 12:12:24.24,137
04/04/17 12:12:29.29,138
04/04/17 12:12:34.34,128
04/04/17 12:12:36.36,122
04/04/17 13:02:55.55,832
04/04/17 13:03:00.00,818
