,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:01:42.069,"168",,
04/05/17 10:01:47.069,"171",,
04/05/17 10:01:52.068,"161",,
04/05/17 10:01:57.069,"169",,
04/05/17 10:02:02.069,"157",,
04/05/17 10:02:07.068,"168",,
04/05/17 10:02:12.069,"152",,
04/05/17 10:02:17.069,"164",,
04/05/17 10:02:22.069,"163",,
04/05/17 10:02:27.068,"161",,
04/05/17 10:02:32.069,"151",,
04/05/17 10:02:37.069,"136",,
04/05/17 10:02:42.068,"136",,
04/05/17 10:02:47.069,"135",,
04/05/17 10:02:52.069,"148",,
04/05/17 10:02:57.069,"144",,
04/05/17 10:03:02.068,"144",,
04/05/17 10:03:07.069,"143",,
04/05/17 10:03:12.069,"149",,
04/05/17 10:03:17.068,"148",,
04/05/17 10:03:22.069,"146",,
04/05/17 10:03:27.069,"152",,
04/05/17 10:03:32.069,"148",,
04/05/17 10:03:37.068,"143",,
04/05/17 10:03:42.069,"144",,
04/05/17 10:03:47.069,"152",,
04/05/17 10:03:52.068,"151",,
04/05/17 10:03:57.069,"143",,
04/05/17 10:04:02.069,"133",,
04/05/17 10:04:07.069,"138",,
04/05/17 10:04:12.068,"135",,
04/05/17 10:04:17.069,"135",,
04/05/17 10:04:22.069,"138",,
04/05/17 10:04:27.068,"148",,
04/05/17 10:04:32.069,"144",,
04/05/17 10:04:37.069,"143",,
04/05/17 10:04:42.069,"141",,
04/05/17 10:04:47.068,"141",,
04/05/17 10:04:52.069,"143",,
04/05/17 10:04:57.069,"131",,
04/05/17 10:05:02.068,"138",,
04/05/17 10:05:07.069,"139",,
04/05/17 10:05:12.069,"136",,
04/05/17 10:05:17.069,"139",,
04/05/17 10:05:22.069,"141",,
04/05/17 10:05:27.069,"148",,
04/05/17 10:05:32.069,"133",,
04/05/17 10:05:37.068,"136",,
04/05/17 10:05:42.069,"148",,
04/05/17 10:05:47.069,"161",,
04/05/17 10:05:47.069,"161",,
04/05/17 10:05:52.069,"151",,
04/05/17 10:05:57.069,"146",,
04/05/17 10:06:02.069,"154",,
04/05/17 10:06:07.069,"157",,
04/05/17 10:06:12.068,"161",,
04/05/17 10:06:17.069,"164",,
04/05/17 10:06:22.069,"159",,
04/05/17 10:06:27.069,"143",,
04/05/17 10:06:32.069,"148",,
04/05/17 10:06:37.069,"149",,
04/05/17 10:06:42.069,"161",,
04/05/17 10:06:47.068,"157",,
04/05/17 10:06:52.069,"173",,
04/05/17 10:06:57.069,"176",,
04/05/17 10:07:02.069,"168",,
04/05/17 10:07:07.069,"151",,
04/05/17 10:07:12.069,"163",,
04/05/17 10:07:17.069,"159",,
04/05/17 10:07:22.068,"151",,
04/05/17 10:07:27.069,"154",,
04/05/17 10:07:32.069,"156",,
04/05/17 10:07:37.069,"164",,
04/05/17 10:07:42.069,"156",,
04/05/17 10:07:47.069,"164",,
04/05/17 10:07:52.069,"156",,
04/05/17 10:07:57.068,"151",,
04/05/17 10:08:02.069,"157",,
04/05/17 10:08:07.069,"163",,
04/05/17 10:08:12.068,"152",,
04/05/17 10:08:17.069,"152",,
04/05/17 10:08:22.069,"142",,
04/05/17 10:08:27.069,"156",,
04/05/17 10:08:32.068,"141",,
04/05/17 10:08:37.069,"134",,
04/05/17 10:08:42.069,"144",,
04/05/17 10:08:47.068,"151",,
04/05/17 10:08:52.069,"149",,
