,upstrm [Ambient],,
,CO2,,,
04/05/17 10:01:54.017,"198",,
04/05/17 10:01:59.017,"200",,
04/05/17 10:02:04.016,"185",,
04/05/17 10:02:09.016,"188",,
04/05/17 10:02:14.017,"200",,
04/05/17 10:02:19.016,"193",,
04/05/17 10:02:24.016,"205",,
04/05/17 10:02:29.017,"190",,
04/05/17 10:02:34.017,"198",,
04/05/17 10:02:39.016,"200",,
04/05/17 10:02:44.016,"206",,
04/05/17 10:02:49.017,"206",,
04/05/17 10:02:54.016,"212",,
04/05/17 10:02:59.016,"208",,
04/05/17 10:03:04.017,"200",,
04/05/17 10:03:09.017,"193",,
04/05/17 10:03:14.016,"185",,
04/05/17 10:03:19.016,"192",,
04/05/17 10:03:24.017,"180",,
04/05/17 10:03:29.016,"177",,
04/05/17 10:03:34.016,"185",,
04/05/17 10:03:39.017,"185",,
04/05/17 10:03:44.017,"185",,
04/05/17 10:03:49.016,"183",,
04/05/17 10:03:54.016,"177",,
04/05/17 10:03:59.017,"195",,
04/05/17 10:04:04.016,"195",,
04/05/17 10:04:09.016,"187",,
04/05/17 10:04:14.017,"185",,
04/05/17 10:04:19.017,"187",,
04/05/17 10:04:24.016,"183",,
04/05/17 10:04:29.016,"175",,
04/05/17 10:04:34.017,"174",,
04/05/17 10:04:39.016,"182",,
04/05/17 10:04:44.016,"188",,
04/05/17 10:04:49.017,"187",,
04/05/17 10:04:54.017,"192",,
04/05/17 10:04:59.016,"188",,
04/05/17 10:05:04.016,"193",,
04/05/17 10:05:09.017,"183",,
04/05/17 10:05:14.016,"183",,
04/05/17 10:05:19.016,"198",,
04/05/17 10:05:24.017,"196",,
04/05/17 10:05:29.017,"205",,
04/05/17 10:05:34.016,"201",,
04/05/17 10:05:39.016,"203",,
04/05/17 10:05:44.017,"187",,
04/05/17 10:05:49.016,"193",,
04/05/17 10:05:54.016,"203",,
04/05/17 10:05:59.017,"196",,
04/05/17 10:05:59.017,"196",,
04/05/17 10:06:04.017,"195",,
04/05/17 10:06:09.016,"195",,
04/05/17 10:06:14.016,"192",,
04/05/17 10:06:19.017,"188",,
04/05/17 10:06:24.016,"192",,
04/05/17 10:06:29.016,"196",,
04/05/17 10:06:34.017,"203",,
04/05/17 10:06:39.017,"205",,
04/05/17 10:06:44.016,"201",,
04/05/17 10:06:49.017,"205",,
04/05/17 10:06:54.017,"213",,
04/05/17 10:06:59.016,"215",,
04/05/17 10:07:04.016,"210",,
04/05/17 10:07:09.017,"206",,
04/05/17 10:07:14.017,"206",,
04/05/17 10:07:19.016,"201",,
04/05/17 10:07:24.017,"198",,
04/05/17 10:07:29.017,"220",,
04/05/17 10:07:34.016,"222",,
04/05/17 10:07:39.016,"212",,
04/05/17 10:07:44.017,"210",,
04/05/17 10:07:49.016,"201",,
04/05/17 10:07:54.016,"203",,
04/05/17 10:07:59.017,"210",,
04/05/17 10:08:04.017,"203",,
04/05/17 10:08:09.016,"201",,
04/05/17 10:08:14.016,"196",,
04/05/17 10:08:19.017,"198",,
04/05/17 10:08:24.016,"200",,
04/05/17 10:08:29.016,"195",,
04/05/17 10:08:34.017,"200",,
04/05/17 10:08:39.017,"203",,
04/05/17 10:08:44.016,"198",,
04/05/17 10:08:49.016,"203",,
04/05/17 10:08:54.017,"196",,
04/05/17 10:08:59.016,"201",,
04/05/17 10:09:04.016,"208",,
04/05/17 10:09:09.017,"201",,
04/05/17 10:09:14.017,"188",,
04/05/17 10:09:19.016,"182",,
04/05/17 10:09:24.016,"193",,
04/05/17 10:09:29.017,"187",,
