,upstrm [Ambient],,,dwnstrm [Ambient],Time Elapsed,AI 2: Upstream CO2 (%),AI 10: Downstream CO2 (%)
,CO2,,,CO2,12653.44051,0.397078785,-0.006593513
04/04/17 11:54:35.35,313,,04/04/17 11:54:52.52,590,12653.93881,0.398876352,-0.011250584
04/04/17 11:54:40.40,305,,04/04/17 11:54:57.57,590,12654.43792,0.39601928,-0.009992225
04/04/17 11:54:45.45,287,,04/04/17 11:55:02.02,593,12654.93822,0.399311442,-0.011610078
04/04/17 11:54:50.50,263,,04/04/17 11:55:07.07,594,12655.44245,0.400249372,-0.007667555
04/04/17 11:54:55.55,257,,04/04/17 11:55:12.12,578,12655.93967,0.401164323,-0.011428909
04/04/17 11:55:00.00,247,,04/04/17 11:55:17.17,585,12656.4399,0.400687127,-0.007131036
04/04/17 11:55:05.05,239,,04/04/17 11:55:22.22,582,12656.94518,0.401964474,-0.011244565
04/04/17 11:55:10.10,244,,04/04/17 11:55:27.27,569,12657.43839,0.39907804,-0.010888753
04/04/17 11:55:15.15,218,,04/04/17 11:55:32.32,576,12657.93742,0.40294271,-0.010529628
04/04/17 11:55:20.20,227,,04/04/17 11:55:37.37,556,12658.4376,0.400174145,-0.011786464
04/04/17 11:55:25.25,218,,04/04/17 11:55:42.42,558,12658.9388,0.404235437,-0.011780789
04/04/17 11:55:30.30,222,,04/04/17 11:55:47.47,571,12659.436,0.399779495,-0.011607222
04/04/17 11:55:35.35,222,,04/04/17 11:55:52.52,565,12659.94737,0.405948942,-0.009098192
04/04/17 11:55:40.40,206,,04/04/17 11:55:57.57,567,12660.4375,0.402763048,-0.009997717
04/04/17 11:55:45.45,188,,04/04/17 11:56:02.02,560,12660.94371,0.407756072,-0.010171367
04/04/17 11:55:50.50,190,,04/04/17 11:56:07.07,571,12661.44378,0.402665004,-0.009279349
04/04/17 11:55:55.55,182,,04/04/17 11:56:12.12,551,12661.94082,0.40539095,-0.010891497
04/04/17 11:56:00.00,182,,04/04/17 11:56:17.17,540,12662.44095,0.404466906,-0.014650901
04/04/17 11:56:05.05,172,,04/04/17 11:56:22.22,547,12662.94614,0.406676159,-0.011781201
04/04/17 11:56:10.10,164,,04/04/17 11:56:27.27,542,12663.43837,0.403911179,-0.014646552
04/04/17 11:56:15.15,170,,04/04/17 11:56:32.32,534,12663.93856,0.407676105,-0.014288018
04/04/17 11:56:20.20,151,,04/04/17 11:56:37.37,534,12664.43978,0.402684907,-0.01446382
04/04/17 11:56:25.25,161,,04/04/17 11:56:42.42,538,12664.94686,0.408356361,-0.010713789
04/04/17 11:56:30.30,157,,04/04/17 11:56:47.47,531,12665.442,0.404248819,-0.014828167
04/04/17 11:56:35.35,153,,04/04/17 11:56:52.52,536,12665.94923,0.409611069,-0.008741924
04/04/17 11:56:40.40,153,,04/04/17 11:56:57.57,534,12666.43732,0.404963943,-0.012859334
04/04/17 11:56:45.45,167,,04/04/17 11:57:02.02,529,12666.93735,0.40925072,-0.008919254
04/04/17 11:56:50.50,156,,04/04/17 11:57:07.07,522,12667.44183,0.404112894,-0.012499905
04/04/17 11:56:55.55,164,,04/04/17 11:57:12.12,522,12667.93884,0.407908558,-0.008025332
04/04/17 11:57:00.00,161,,04/04/17 11:57:17.17,516,12668.43719,0.404393605,-0.010891052
04/04/17 11:57:05.05,154,,04/04/17 11:57:22.22,516,12668.93843,0.407101838,-0.009996174
04/04/17 11:57:10.10,146,,04/04/17 11:57:27.27,505,12669.43849,0.403920611,-0.011068113
04/04/17 11:57:15.15,161,,04/04/17 11:57:32.32,499,12669.94278,0.40781903,-0.007489475
04/04/17 11:57:20.20,146,,04/04/17 11:57:37.37,503,12670.43882,0.405186165,-0.00999566
04/04/17 11:57:25.25,148,,04/04/17 11:57:42.42,497,12670.94802,0.408849959,-0.005703499
04/04/17 11:57:30.30,143,,04/04/17 11:57:47.47,501,12671.44113,0.403808706,-0.010530677
04/04/17 11:57:35.35,156,,04/04/17 11:57:52.52,501,12671.9403,0.407524743,-0.004627658
04/04/17 11:57:40.40,157,,04/04/17 11:57:57.57,486,12672.43951,0.403242146,-0.00838341
04/04/17 11:57:45.45,149,,04/04/17 11:58:02.02,473,12672.93954,0.407416959,-0.004448588
04/04/17 11:57:50.50,146,,04/04/17 11:58:07.07,450,12673.43783,0.403694203,-0.006955066
04/04/17 11:57:55.55,131,,04/04/17 11:58:12.12,422,12673.93812,0.406989599,-0.004270331
04/04/17 11:58:00.00,131,,04/04/17 11:58:17.17,416,12674.44835,0.404707239,-0.006597669
04/04/17 11:58:05.05,132,,04/04/17 11:58:22.22,416,12674.93851,0.4074364,-0.004271396
04/04/17 11:58:10.10,134,,04/04/17 11:58:27.27,388,12675.44675,0.403507733,-0.006417055
04/04/17 11:58:15.15,128,,04/04/17 11:58:32.32,369,12675.94288,0.409101674,-0.00230279
04/04/17 11:58:20.20,132,,04/04/17 11:58:37.37,336,12676.44622,0.403951923,-0.005523101
04/04/17 11:58:25.25,143,,04/04/17 11:58:42.42,333,12676.93847,0.409667243,-0.002302988
04/04/17 11:58:30.30,146,,04/04/17 11:58:47.47,327,12677.44961,0.405996809,-0.006773048
04/04/17 11:58:35.35,140,,04/04/17 11:58:52.52,323,12677.94063,0.410039326,-0.003734494
04/04/17 11:58:40.40,140,,04/04/17 11:58:57.57,309,12678.44583,0.407609759,-0.007309897
04/04/17 11:58:40.40,140,,04/04/17 11:58:57.57,309,12678.94501,0.410400489,-0.002839318
04/04/17 11:58:45.45,146,,04/04/17 11:59:02.02,300,12679.44322,0.405966031,-0.007491621
04/04/17 11:58:50.50,143,,04/04/17 11:59:07.07,291,12679.94641,0.409129226,-0.005700569
04/04/17 11:58:55.55,138,,04/04/17 11:59:11.11,276,12680.44158,0.408055935,-0.007849182
04/04/17 11:59:00.00,125,,04/04/17 12:08:45.45,648,12680.94061,0.413838441,-0.004269407
04/04/17 11:59:05.05,126,,04/04/17 12:08:50.50,653,12681.44073,0.409744277,-0.007850197
04/04/17 11:59:10.10,129,,04/04/17 12:08:55.55,667,12681.93899,0.409166795,-0.005343307
04/04/17 11:59:15.15,137,,04/04/17 12:09:00.00,653,12682.4391,0.410129353,-0.009280831
04/04/17 11:59:15.15,135,,04/04/17 12:09:05.05,657,12682.94845,0.412938618,-0.006596816
04/04/17 12:08:49.49,589,,04/04/17 12:09:10.10,641,12683.44169,0.413711237,-0.009995581
04/04/17 12:08:54.54,586,,04/04/17 12:09:15.15,664,12683.93886,0.413383167,-0.005345028
04/04/17 12:08:59.59,589,,04/04/17 12:09:20.20,639,12684.43613,0.413756615,-0.010713988
04/04/17 12:09:04.04,586,,04/04/17 12:09:25.25,621,12684.94351,0.41203442,-0.00713449
04/04/17 12:09:09.09,591,,04/04/17 12:09:30.30,651,12685.43741,0.412150908,-0.010713147
04/04/17 12:09:14.14,610,,04/04/17 12:09:35.35,644,12685.93744,0.412862013,-0.008385816
04/04/17 12:09:19.19,601,,04/04/17 12:09:40.40,632,12686.43757,0.416782746,-0.012317846
04/04/17 12:09:24.24,598,,04/04/17 12:09:45.45,635,12686.94286,0.413704485,-0.009098666
04/04/17 12:09:29.29,596,,04/04/17 12:09:50.50,628,12687.43703,0.417066024,-0.011605867
04/04/17 12:09:34.34,596,,04/04/17 12:09:55.55,669,12687.94339,0.41669693,-0.008387177
04/04/17 12:09:39.39,586,,04/04/17 12:10:00.00,672,12688.44372,0.416884876,-0.011070596
04/04/17 12:09:44.44,565,,04/04/17 12:10:05.05,677,12688.94784,0.416393793,-0.007671183
04/04/17 12:09:49.49,534,,04/04/17 12:10:10.10,702,12689.44007,0.418792298,-0.011428758
04/04/17 12:09:54.54,510,,04/04/17 12:10:15.15,702,12689.94212,0.415498369,-0.007490489
04/04/17 12:09:59.59,484,,04/04/17 12:10:20.20,687,12690.4382,0.41445578,-0.011068559
04/04/17 12:10:04.04,451,,04/04/17 12:10:25.25,664,12690.93824,0.414688052,-0.009278045
04/04/17 12:10:09.09,416,,04/04/17 12:10:30.30,662,12691.43829,0.417208203,-0.014289686
04/04/17 12:10:14.14,397,,04/04/17 12:10:35.35,646,12691.94136,0.415229712,-0.00874051
04/04/17 12:10:19.19,378,,04/04/17 12:10:40.40,641,12692.44258,0.417209338,-0.012319349
04/04/17 12:10:24.24,352,,04/04/17 12:10:45.45,610,12692.93963,0.416986906,-0.006417212
04/04/17 12:10:29.29,323,,04/04/17 12:10:50.50,600,12693.43872,0.417559082,-0.01142434
04/04/17 12:10:34.34,299,,04/04/17 12:10:55.55,594,12693.9388,0.413505802,-0.00749114
04/04/17 12:10:39.39,291,,04/04/17 12:11:00.00,582,12694.43987,0.417983686,-0.009819258
04/04/17 12:10:44.44,273,,04/04/17 12:11:05.05,565,12694.946,0.413689196,-0.006414519
04/04/17 12:10:49.49,256,,04/04/17 12:11:10.10,545,12695.44209,0.418019432,-0.009456371
04/04/17 12:10:54.54,245,,04/04/17 12:11:15.15,525,12695.93652,0.413191775,-0.00659487
04/04/17 12:10:59.59,240,,04/04/17 12:11:20.20,514,12696.43955,0.416600442,-0.007848478
04/04/17 12:11:04.04,233,,04/04/17 12:11:25.25,505,12696.94479,0.412415115,-0.005344795
04/04/17 12:11:09.09,223,,04/04/17 12:11:30.30,499,12697.4469,0.412510151,-0.008386635
04/04/17 12:11:14.14,222,,04/04/17 12:11:35.35,493,12697.93993,0.4121273,-0.004627197
04/04/17 12:11:19.19,215,,04/04/17 12:11:40.40,473,12698.43807,0.414754708,-0.008029066
04/04/17 12:11:24.24,205,,04/04/17 12:11:45.45,467,12698.94709,0.411964295,-0.003732577
04/04/17 12:11:29.29,203,,04/04/17 12:11:50.50,459,12699.45015,0.415410544,-0.006419536
04/04/17 12:11:34.34,206,,04/04/17 12:11:55.55,438,12699.93717,0.412907334,-0.000871471
04/04/17 12:11:39.39,198,,04/04/17 12:12:00.00,426,12700.43731,0.415797623,-0.006416483
04/04/17 12:11:44.44,192,,04/04/17 12:12:05.05,416,12700.94941,0.412182036,-0.001408716
04/04/17 12:11:49.49,200,,04/04/17 12:12:10.10,412,12701.43944,0.41694748,-0.004450131
04/04/17 12:11:54.54,190,,04/04/17 12:12:15.15,402,12701.93763,0.411776445,-0.000334892
04/04/17 12:11:59.59,180,,04/04/17 12:12:20.20,380,12702.43686,0.414253058,-0.005165118
04/04/17 12:12:04.04,187,,04/04/17 12:12:25.25,337,12702.94893,0.413225781,-0.000513808
04/04/17 12:12:09.09,190,,04/04/17 12:12:30.30,332,12703.44098,0.417308033,-0.004807943
04/04/17 12:12:14.14,195,,04/04/17 12:12:35.35,298,12703.94299,0.41360628,-0.00266111
04/04/17 12:12:19.19,166,,04/04/17 12:12:37.37,302,12704.44602,0.417481738,-0.00158669
04/04/17 12:12:24.24,137,,04/04/17 13:02:51.51,956,12704.9491,0.415025782,0.001454207
04/04/17 12:12:29.29,138,,04/04/17 13:02:56.56,950,12705.43622,0.417908151,-0.001407782
04/04/17 12:12:34.34,128,,04/04/17 13:03:01.01,950,12705.93727,0.416096134,0.001095881
04/04/17 12:12:36.36,122,,04/04/17 13:03:06.06,964,12706.44449,0.416749006,-0.000156045
04/04/17 13:02:55.55,832,,04/04/17 13:03:11.11,961,12706.93951,0.415640011,-0.004269745
04/04/17 13:03:00.00,818,,04/04/17 13:03:16.16,927,12707.43968,0.420679596,-0.004806786
04/04/17 13:03:05.05,837,,04/04/17 13:03:21.21,927,12707.94317,0.416717167,-0.004270703
04/04/17 13:03:10.10,855,,04/04/17 13:03:26.26,933,12708.44949,0.418960733,-0.004628635
04/04/17 13:03:15.15,832,,04/04/17 13:03:31.31,933,12708.94252,0.418881964,-0.004985078
04/04/17 13:03:20.20,837,,04/04/17 13:03:36.36,941,12709.43855,0.420576297,-0.002303144
04/04/17 13:03:25.25,846,,04/04/17 13:03:41.41,930,12709.9476,0.418947136,-0.00122955
04/04/17 13:03:30.30,843,,04/04/17 13:03:46.46,927,12710.44065,0.422555911,-0.002838856
04/04/17 13:03:35.35,840,,04/04/17 13:03:51.51,930,12710.94278,0.417101695,-0.005882482
04/04/17 13:03:40.40,846,,04/04/17 13:03:56.56,924,12711.4389,0.422489796,-0.004628708
04/04/17 13:03:45.45,832,,04/04/17 13:04:01.01,924,12711.93805,0.418817083,-0.008562176
04/04/17 13:03:50.50,826,,04/04/17 13:04:06.06,902,12712.4391,0.42351313,-0.006776677
04/04/17 13:03:55.55,835,,04/04/17 13:04:11.11,905,12712.93726,0.420412979,-0.010530148
04/04/17 13:04:00.00,840,,04/04/17 13:04:16.16,899,12713.43945,0.42368756,-0.004450263
04/04/17 13:04:05.05,823,,04/04/17 13:04:21.21,899,12713.93948,0.422365459,-0.010176958
